Timestamp,Your Gender,Comments you have heard/seen/used in social media:
9/3/2020 15:36:08,Prefer not to say,"3. Who the hell are you to insult bts ? BTS k insult korar jonno na basic quality lage jeta tmr toh at least nai ... nijer life e kii baal ta kore felso aktu bolo toh bhai ... onno er telent dekhle kii jole naki tmr? Tmr moto manush re shojho hoy na amr ... valo hoye jao ... onno re choto kore boro hoite parba na ... tmr baal marka kothay oder kichu e jay ashe na ... they are beyond your reach.. Allah tmr mathay kii diyeche allah e jane ... BTS k insult kore kii dekhaite chao ... kotha theke j ashe ashol manush ... ar amar chokh a e kno pore ashol baal marka post ... I think tumi nije akta public toilet... mejas amn kharap hocche j word o pacchi na tmk bolar ... ami maybe amar life e kao k amn kharap kono text dei nai ... akta e request onno k insult kora chere nije kichu koro. ... aii baal marka image ta bhai change koro BTS is the new Beatles. I can say that because I am a huge Beatles fan. (I started listening to Beatles when I couldn’t even talk) So for me, I love Beatles that’s why I HAVE TO love BTS ... there is no other way around ! I don’t like Beatles bcz I will sound cool to people or everyone is liking it! I love them because of THEM. ❤️ How pop culture started and the huge contribution of Beatles for the pop music is everything for me. People who ACTUALLY know Beatles and their journey can easily understand. Before Beatles, the traditional music lovers were exactly like people this days ! “What is this trashy music?” “This is not music, this is trash” “This is sound pollution” “Why this girls are wearing makeup and flashy clothes?” “They are gay” Teens at those time, used to hide their radio from their parents. After pop music got their recognition, whereever Beatles go, there was a huge human wave to just see them and feel them. Exactly like BTS! Even their Time magazine cover were similar! BTS music and their composition is pure genius! The musics that BTS composing is actually a little bit advance for a third country like us. You know there were people who bought iPad with a huge risk for the first time (The Weird ones) and then there were people who followed later and some didn’t even follow (Normal People). I was considered weird bcz I used to listen Beatles, Queens, Led Zeppelin, Micheal Jackson while my friends were listening to “Bole Churiya” in childhood .. I still considered weird because I like BTS now! 😪 This saga must go on. 😂 Hey Admin ... Oopps ভুল বলছি... disappointed Hey Bitch listen.... blush BTS যদি Bangladesh Toilet Service হয় (যে service এর আদোও কোনো অস্তিত্যই নেই) Then তোর page একটা কুত্তার গু| আর তুই সেই কুত্তা| slight_smile আর যে কয়টা তোর এই পোস্টে support করে+ আমার এই কমেন্টে এ বাজে রিপ্লাই দিবে সেইগুলা তোর মতো কুত্তার গু চাটা slut.... বাজে যদি রিপ্লাই দিসোনা I DON'T CARE... কারন তোদের মতো কুত্তার গু চাটা Slut দের বাজে মন্তব্যে আমার বা BTS এর কিচ্ছু আসে যায়না| blush আর শোন Bitch(কুত্তা ADMIN) তোর মত কুত্তা মস্তিষ্কের কুত্তারাই পারে আর্টিস্টদের নামে বাজে কথা বলতে আর অন্য country-র culture কে অসম্মান করতে| তোরে কি Bitch আর কুত্তা বলছি ফাও? আর পারলে ওদের মতো সারা world-এ popular হইয়া দেখা, তোর এই গুর তোলে পলাইয়া গু লইয়া ভাউ ভাউ করিসনা slight_smile আর গু চাটা slut গল বজ কথ বলল বল , আম তদর মত কততর গ চটদর কন Reply দতছন blush Hmmmmmm I think groups admin have any other work or or any other creativity to make funny so they thought make fun this ......so I just wanna say don't like too much BTS .....But the way they got successful and know they are the world's most famous group and I think they don't also care about this faltu shits never ......so groups admin with your own cretivity do something by which thing we can get good facts ....not this type of faltu shits .....forget them ......because you guys Never be success by this faltu shits ........never mind bro ok.......I think admis mind has gone to hell....... Not only ARMYs but also common people dislikes you now.you can see that in comments😊by claiming that you ""win"" doesn't make you actually win.I PITY YOU.If you can then achieve something bigger than BTS.making memes doesn't make you anything.Try to be a better person plz.Actually you have disrespected our own bengali culture.People like you make us bengalis look bad in other nations eyes.I am not talking about asians only but the whole wideworld...Plz try to look at the positive side of others.You can't judge someone by their looks....Bangladeshis aren't good looking either.But others don't hate us for that.It's our deeds that make us look good in others eyes,not LOOKS.Please try to realise the fact😊😊and don't waste your time in insulting other idols.That doesn't make you look good in anyone's eyes☺☺ "
9/3/2020 15:36:08,Prefer not to say,4. Messi international rant.............. *Highest goal scorer of his national team *World Cup Golden Ball winner *Olympic medalist *U-20 WC winner *U-20 WC Golden Ball Winner *U-20 WC Golden Shoe Winner *Highest goal scorer of South American WC qualifier *2x Copa America Golden Ball Winner *Copa America Award for best young player 2007 *Took Argentina singlehandedly to Russia WC-2018 *Led Argentina to three consecutive major tournament finals *Scored hat trick in Super Clasico 
9/3/2020 15:36:08,Prefer not to say,"5. অসম্ভব ভালো পোস্ট । এক কথায় অনবদ্য। বহুদিন পরে একটা ভালো পোস্ট । একবিংশ শতাব্দীতে এধরনের পোস্ট আর আগে আসে নাই। অনবদ্য,, অসাধারণ শুধু যে প্রাসঙ্গিক ও সময়উপযোগী পোস্ট তাই নয় একেবারে সমস্যার মূলে কুঠারাঘাত করেছেন। তৃতীয় বিশ্বে উন্নয়নশীল দেশ হিসাবে আমরা যখন সাম্রাজ্যবাদীদের চোখ রাঙানো আর আমলাতান্ত্রিক জটিলতার শিকার হয়ে ক্রমশ এগিয়ে যাচ্ছি একটি অনিশ্চিত ভবিষ্যতের দিকে; ঠিক তখনই, ঠিক সেই মুহূর্তে দাঁড়িয়ে আপনার এই পোস্টের মাঝে আমি খুঁজে পাচ্ছি অন্ধকার ঠেলে সামনে এগিয়ে যাওয়ার একটি সম্ভাবনা আর বিদেশী বেনিয়াদের কাছে বুদ্ধিবৃত্তিক দাসত্ব গ্রহন করার বিপক্ষে একটি সূক্ষ্ম বার্তা। আপনার এই পোস্ট টি হতে পারে আই এস এর বিপক্ষে রুখে দাঁড়ানোর অনুপ্রেরণা। হতে পারে 2022 বিশ্বকাপ জেতার অনুপ্রেরণা। এই পোস্ট হতে পারে ২০৫০ সালের নতুন লায়লা মজনুর প্রেমের কারণ। পোস্ট দেখে চোখে পানি চলে আসলো। টিস্যু পেপার কই 😢 "
9/3/2020 15:36:08,Prefer not to say,6. জীবন থেকে চাওয়া পাওয়া থাকতেই পারে। তবে চাহিদা গুলো যৌক্তিক হওয়া উচিৎ। এমন অযৌক্তিক চাহিদা থাকলে জীবনে সুখী হওয়া যায় না।
9/3/2020 17:10:08,,
9/3/2020 17:10:17,,
9/3/2020 17:10:25,,
9/3/2020 17:10:47,,
9/3/2020 17:10:59,,
9/3/2020 17:11:18,,
9/3/2020 17:11:28,,
9/3/2020 17:11:55,,
9/3/2020 17:12:01,,
9/3/2020 17:12:10,,
9/3/2020 17:12:19,,
9/3/2020 17:12:29,,
9/3/2020 17:12:38,,
9/3/2020 17:12:50,,
9/3/2020 17:12:59,,
9/3/2020 17:13:07,,
9/3/2020 17:13:54,,
9/3/2020 17:14:02,,
9/3/2020 17:14:12,,
9/3/2020 17:14:16,,
9/3/2020 17:14:22,,
9/3/2020 17:14:30,,
9/3/2020 17:14:53,,
9/3/2020 17:15:00,,
9/3/2020 17:21:51,Female,"This photo touches my heart, soul, head, shoulders, knees, toes, my eyes, ears, mouth and nose. ;"
9/3/2020 17:21:51,Female,"মেয়েদের ৫টি সমস্যা : ১. বুজে কম , ২. হিংসা করে, ৩. সনদেহ করে , ৪. কিলিক লাগায় , ৫. স্বামীর কতা সোনেনা ; "
9/3/2020 17:21:51,Female,চুল ছোট করলে কেন?😟 আর বুকে ওড়না কই তোমার!😔 ;
9/3/2020 17:21:51,Female,Beauty with brain
9/3/2020 17:21:51,Female,Kanke mage hijab koe 
9/3/2020 18:52:10,Male,Khanke mage higab koi 😑
9/3/2020 20:20:47,Male,"apnara line dhore ashen, shobai gali deoyar shujog paben"
9/3/2020 23:34:32,Male,এই দন দেখার জন্যই তো মোবাইলে এমবি ডুকাই
9/4/2020 0:18:22,Male,"বন্ধু হবে কি,,"
9/4/2020 0:18:42,Male,Hi Tanisa Aktar Ami Tomar Sate Kotha Bolte Cay
9/4/2020 0:19:13,Female,"ভালোবাসলেই, ক্ষমা করতে নেই।"
9/4/2020 0:19:33,Male,কেন আপু।তুমি কি ছেকা খাইছ
9/4/2020 0:19:58,Female,প্রেম না করলে গুলি করে খুলি উড়িয়ে দিবো
9/4/2020 0:20:12,Male,এই বোকা মেয়ে এসব কথা ভালো না
9/4/2020 0:20:33,Male,আমি তো মোরে যাবো
9/4/2020 0:20:49,Female,অই ছেলে! সাহস থাকলে I love you বলো।আর রিকুয়েষ্ট পাঠাও।😍😍 বাড়ি থেকে ধরে এনে বিয়ে করবো
9/4/2020 0:21:10,Male,দুঃখটা লুকিয়ে রাখায় ভালো কি হবে অন্যেকে বলে সান্ত্বনা ছাড়া কিছুই পাওয়া যাবে না...
9/4/2020 0:21:28,Male,সত্যি অসাধারণ একটি ছবি তুমি অনেক সুন্দর
9/4/2020 0:21:48,Male,"হে আল্লাহ্ আপনি সারা দুনিয়ার অসহায় দরিদ্র মুসলমানদের উপর আপনার খাঁস রহমত নাযিল করুন  ""আমিন""____🤲🤲"
9/4/2020 0:22:06,Female,আচ্ছা আমার সাথে কেও প্রেম করতে চাইনা কেন😓 আমি কি দেখতে খারাপ😢
9/4/2020 0:22:21,Male,অবশ্যই চাই আপনি কি বিবাহিতা যদি বিবাহিতা হয়ে থাকেন তাহলে করতে চাই
9/4/2020 0:22:51,Female,রুপের পাগল সবাই😒 ভালবাসার নাহ😭 কেউ সত্যিকারের ভালোবাসবে কি😭💔
9/4/2020 0:23:10,Male,"ভ্রুদুটো রংধনু , চোখ দুটো নিশাতুর, নাকটি তুমার ছুরিছুরি,কেমন করে দিব তোমায় ভালবাসার ফুলছড়ি। 🌹🕌💖"
9/4/2020 0:23:28,Female,এই শহরে প্রেমিক প্রেমিকার অভাব নেই!😊 - অভাব শুধু ভালোবেসে আগলে রাখার মতো মানুষ!😓💔
9/4/2020 0:23:51,Female,বয়স বাড়লে মেয়েদের দায়িত্ব বেড়ে যায় 🖤
9/4/2020 0:25:01,Male,বয়স বাড়লে মেয়েদের শুধুমাত্র তার স্বামী নিজের সন্তানের প্রতি দায়িত্ব বাড়ানো উচিত বাহিরে গিয়ে সমাজে আপনাকে নিজেকে উপস্থাপন করার দরকার নেই আপনার যদি বিয়ে হয় আপনার স্বামী আপনাকে দুটি ভাত খাওয়ানোর মতো যোগ্যতা রাখে আল্লাহ পাক সেই রিজিকের ব্যবস্থা করে দেবে কিন্তু বড় হয়েছেন বিদ হয় যা ইচ্ছে কাজ করবেন সেটা ইসলামে বৈধতা নেই
9/4/2020 0:25:18,Male,আগে মা কাদতো ছেলে ভাত খাইনা বলে।আর এখন মা কাদছে ছেলে ভাত দেইনা দেখে।কেকে মাকে ভালোবাসো দেখি।আই লাভ ইউ মা।
9/4/2020 0:25:36,Female,~খুব জানতে ইচ্ছে করে Gf ছাড়া ~ছেলে গুলো কেমন আছে😳😕
9/4/2020 0:25:58,Male,এমন জাগায় মারুমু।
9/4/2020 0:26:12,Female,ফ্রী মেয়েদের সাতে এমোতে কথা বলতে চাইলে চাইলে নিচে ইংরেজি লিখায় টাচ করোন 🤙🤙🤙🤙
9/4/2020 0:28:23,Male,"এই মেয়ে একবার oi বলে দেখো, তোমাকে ২ মিনিটে পটিয়ে ফেলবো।😈😈😈"
9/4/2020 0:28:41,Female,এভাবে দেখিয়ো না প্রেমে পরে যাবে  বুকে সাহস থাকলে রিকোয়েস্ট দাও রাতের ঘুম হারাম করে দিবো
9/4/2020 0:29:05,Male,এই আইডি কার সত্যি কথা লিখবে। উত্তর ছাই
9/4/2020 0:29:31,Male,এবার বের হলো উনার নতুন নাটক🙈😜😜  দেখো নাই কে কে😜 জলদি দেখো লিংকে টিপ দিয়ে😷😷
9/4/2020 0:29:50,Female,I love you যে ছেলে পড়তেছে সে  আমরা   bf 😍😍 রিপ্লাই  না দিলে  রোহিঙ্গা 😁😁
9/4/2020 0:30:09,Female,কিছু ভালো বন্ধু লাগবে।  রাতে ভিডিও কলে আড্ডা দিবো।  রিকুয়েষ্ট দাও সবাই
9/4/2020 0:30:27,Male,"হ্যা এটাই আমাদের শেষ ঠিকানা, হে আল্লাহ, দুনিয়ায় ভালো কাজ করার তৌফিক দান করো এবং কবরের আযাব থেকে আমাদের মুক্তি দাও😥 আমিন।"
9/4/2020 0:30:42,Male,- কতটা ভালোবাসি জানি না.!☺ - তবে প্রতিটা মূহুর্তে তোর কথা ভাবি.!😍
9/4/2020 0:30:58,Male,Tomaka i love you
9/4/2020 0:31:13,Female,রুপে কি আসে যায়? মনটাই তো আসল💖💖 সেটা কি কেউ বোঝে.?
9/4/2020 0:31:33,Female,মানুষ বড় বেইমান বেইমান
9/4/2020 0:31:49,Female,বুকের বাম পাশের ফ্ল্যাটটা খালি পড়ে আছে  বিশ্বস্ত ভাড়াটিয়া চাই😇😇 বন্ধু হতে চাইলে ফ্রেন্ড রিকুয়েষ্ট দাও
9/4/2020 0:32:03,Female,"বলতে লজ্জা করছে তবুও বলছি,,সিংগাল ছেলে রেকুয়েস্ট পাঠাও একটা প্রেম করতে চাই💞💞💃👇"
9/4/2020 0:32:38,Male,শরম কিসের বলো বিয়ে করি 01974500216
9/4/2020 0:32:53,Male,প্রেম করে কি হয় আমি বুঝি না
9/4/2020 0:33:17,Female,সবাই শুধু জিজ্ঞেস করে প্রেম করো😏 কিন্তু কেউ জিজ্ঞেস করে না প্রেম করবা🙂
9/4/2020 0:34:08,Female,"১)..যে স্বামী তার স্ত্রীর সাথে শারীরিক মিলনের আগে ২রাকাত নামাজ পড়ে এবং রাসুল সঃ এর সুন্নত মতো স্ত্রীর সাথে শারীরিক মিলন করে। 👇 তাদেরকে প্রতিবার মিলনের জন্য একটি করে উট কুরবানি করার সওয়াব,,তাদের উভয়ের আমল নামায় লিখা হয়। --বায়হাকী ( স্বামী স্ত্রী ও পারিবারিক অধ্যায়)..☆ ২)..যে ঘরে স্বামী স্ত্রী একি কম্বলের নিচে ঘুমাবেন, ঐ ঘরে আল্লাহ রহমত নাজিল হতে থাকে।  --বুখারী।👈 ৩)..যে ঘরে স্বামী ও স্ত্রী এক সাথে তাহাজ্জুদ এর নামায পড়বে, সে ঘরে জীবনে কোনো দিন অশান্তি হবেনা""-- বুখারী ও মুসলিম।☆👈 ৪..)যে স্বামী তার স্ত্রীকে এক লোকমা ভাত খাইয়ে দিবে, আল্লাহ ঐ স্বামীর ছগীরা গুনাহগুলো মাফ করে দিবেন। এবং যে স্ত্রী তার স্বামীকে এক লোকমা ভাত খাইয়ে দিবে, আল্লাহ ঐ স্ত্রীর ছগীরা গুনাহগুলো মাফ করে দিবেন। এবং প্রতি লোকমার বিনিময়ে ১০০০ নেকি উভয়ের আমলনামায় দান করবেন। -- মুসলিম শরীফ.☆👈 ৫)..যে ঘরে স্বামী ও স্ত্রী একই প্লেটে খাবার খাবে যতক্ষণ খাবার খেতে থাকবে ততক্ষণ তাদের আমলনামায় সওয়াব লিখা হয়। -- তিরমিজি।☆👈 ৬)..স্বামী ও স্ত্রী যখন একই বিছানায় শয়ন করে অথবা যেই অবস্থায় থাকে, তাদের প্রতিটা মুহুর্তে তাদের আমল নামায় ১০ টা করে নেকি লিখা হয়। __আবু দাউদ ( স্বামী স্ত্রী অধ্যায়)☆👈 ৭)..যে স্ত্রী তার স্বামীকে সকালে ঘুম থেকে জাগিয়ে পবিত্র করে ফজরের সালাতে মসজিদে পাঠিয়ে দেয়, ঐ স্ত্রীর প্রতি স্বামীর অন্তরে আল্লাহর তরফ থেকে ভালোবাসার নুর পয়দা হয়""। --বুখারী শরিফ।☆👈 ৮)..যে স্বামী তার স্ত্রীকে একবার চুমু দিবে এবং যে স্ত্রী তার স্বামীকে একবার চুমু দিবে, প্রতিটা চুমুর বিনিময়ে ১০০ টা নেকি তাদের আমলনামায় লিখা হয়। ---মুসনাদে আহমদ (স্বামী স্ত্রী অধ্যায়)☆👈 ৯)..যে স্বামী তার স্ত্রীকে কোরঅানের এলেম শিখাবে, এবং নিজেও শিখবে এবং সে অনুযায়ী আমল করবে আল্লাহপাক মৃত্যুর পর তাদেরকে জান্নাত দান করবেন।👈 ১০)..যে সন্তান তার পিতামাতার ভরণ পোষন করবে বা সেবা করবে, এবং নিজ স্ত্রীর ইজ্জতের হেফাজত করবে তাদের জীবনের সমস্ত গুনাহ মাফ করে দেওয়া হবে। -- মুসলিম শরীফ👈 🔴পোস্ট টি যাতে প্রত্যেক মুসলমান পড়তে পারে সেই  জন্য সবাই শেয়ার করবেন 🔴 ➖➖➖➖➖➖➖➖➖➖➖➖➖➖"
9/4/2020 0:34:23,Female,- সিংগেল ছেলেদের বলছি... - তোমাগো কি প্রেম করতে ইচ্ছে করে না? 
9/4/2020 0:40:49,Male,"বাহ!অসাধারণ বলেছেন,,, আপনার জন্য থাকছে কেয়া কসমেটিকের সৌজন্যে একটি মহা মূল্যবান ইয়াবা মেশিন, পরিবেশ বান্ধব গাঞ্জার গাছ, আপনাকে জামালপুরের ডিসি, ফেনীর সিরাজউদ্দৌলা, ওসি মোয়াজ্জেম, কক্সবাজারের বাবা বদি, বরগুনার মিন্নি, টেন্ডার কিং জি কে শামীম, ক্যাসিনো খালেদ ও সম্রাট, সানাই মাহবুব,রানু মন্ডল, নারী ব্যাবসায়ী পাপীয়া, গালুকবাজ সেফুদা, সাহেদ চোরা, এবং সাবরীনা খালার পক্ষ থেকে, আন্তরিক অভিনন্দন"
9/4/2020 0:50:58,Male,"কি ব্যাপার ফ্রেন্ড..? খোজ নেই, খবর নেই, কথা নেই, বার্তা নেই, """" sms """" নেই, """""" comment """""" নেই,"""" like"""" নেই তার মানে কি আমাকেও মনে নেই।"""" Hello """"তোমাকে বলছি ফ্রেন্ড। আমি তো লাইক কমেন্ট করলাম তোমারটা কই। পাশে থাকলে পাশে পাবে, পুস্ট অনুযায়ী কমেন্ট করবেন BOSS. এবং কমেন্ট শুধুমাত্র বর্তমান Cover Photo তে করবেন। যত কমেন্ট তত ব্যাক পাসে থাকলে পাসে পাবে100%..গ্যান ্টি..&. LIKE +the  BACK Friend..&..! ___________█ _____██ ██ ___████__████_███ __███____████_the ███ __███_███___██__██ ...███__█████ ██___███ _ _███_████████_████ ███_██_███████_ _████ _███_____████__████ __██████_____██ ███ ___███████__█████ ______████ _██ ______________██ _______________█ _████_________█ __█████_______█ ___████________█ ____█████______█ _________█______█ _____███_█_█__█ ____█████__█_█ ___███pp███___█__ ___█████ ____████____█__ _███_█████ _____██____█__██____██████ ______█___█_██_______████ _________███___ _______██ _________██____________█ _________█ ________█ ________█ _______█Only for you!!!!""""!! আমি কিন্তু লাইকারের কিং..."" ""...I Am..."" ""...3g লাইকার..."" ""...4g কমেন্টার..."" ""...আমি..."" ""...সুপ্যার ম্যান লাইকার..."" ""...মাগার..."" ""...স্পাইডার ম্যান কমেন্টার..."" ""...ডান হাতে খাই..."" ""...আর..."" ""...বাম হাতে ফেইসবুক চালাই..."" ""...শুধু কথায় নয়..."" ""...কাজেই পরিচয়..."" ১৬"" ঘন্টা এক্টিভ থাকি লাইক কমেন্ট করে অল টাইম পাশে আছি..."" ""...নামটা চিনে রাখো ফ্রেন্ড ..."" ""...কথা দিয়ে গেলাম..."" সারা জীবন তোমাদের Notification এ লাইক কমেন্টের আগুন জ্বলবে..."" একটিভ ফ্রেন্ডরা এড দিয়া পাশে থাক,,,!!! # নামটা চিনে রাখো। উপরে ক্লিক করো। প্রোফাইলে ডুকে পড়ো। # প্লিজ আমার প্রোফাইল থেকে একটু ঘুরে আসুন {[Beautiful]} ________\\Awesome\\◆ Excellent Excellent Excellent Excellent ┏━━╮┏┓┏┓╭━┓┏━┓ ┃┏╮┃┃┃┃┃┃╭┛┃┗┓ ┃┃┃╰┛┃┃┃┃╰┓┃┗┓ ┗┛╰━━┛┗┛╰━┛┗━┛ ┈┈┈┈┈┈┈┈┈┈┈┈▉▉▉ ┈┈┈┈┈┈┈┈┈┈ ┈┈┈┈┈┈┈┈┈┈┈┊┊┊┈ ┈┈┈┈┈┈┈┈┈┈ ┈▉▉▉▉▉▉▉▉┈┈▉▉▉▉ ┈┈┈▉▉▉▉▉▉┈ ┊┊▉▉▉┊┊▉▉▉┊┊▉▉▉ ┈┈▉▉▉┊▉▉▉ ┈┊▉▉▉┈┊▉▉▉┈┊▉▉▉ ┈┊▉▉▉┈┊┊┊┈ ┈┊▉▉▉┈┊▉▉▉┈┊▉▉▉ ┈┊▉▉▉┈┈▉▉▉ ┈┊▉▉▉▉▉▉▉┈┈▉▉▉▉ ▉┊┊▉▉▉▉▉▉┈ ┈┊▉▉▉┊┊┊┈┈┊┊┊┊┊ ┈┈┊┊┊┊┊┊┈┈ ┈┊▉▉▉┈┈┈┈┈┈┈┈┈┈ ┈┈┈┈┈┈┈┈┈┈ ┈▉▉▉▉▉┈┈┈┈┈┈"
9/4/2020 4:42:31,Male,বিয়াদ্দপ বিয়াল্লিশ কুত্তার খেতাবালিশ শয়তান অভদ্র ইতর চোর বাটপার ছিটার মফিজ মফিজের আতেল গুগা গাগু চাংগিমাংগি কিপ্টা ফকিন্নি দুষ্ট মিসকা শয়তান আকাশ এর লাল বুদ্ধি দেইখা মদন হাবলা ক্যাবলা হাব্বত বদ বদমাইশ 🙂
9/4/2020 4:43:15,Male,"eije vai jara vabtasen eita normal fandom .. 2 crore fans , ekekta depression victim , raped teen girls , bullied students , suicidical stressful adults , shobai oder fan . apnader moto ektao racist na , shobai oder kase giye onek kisu paise . ei BTS and ARMY kono fandom na , family . some of atheists worship them , I don't . egular majhe lagte aishen na . apnader moto ultra religious der kase eigula tarchira fandom hoite pare but amra apnader moto just ekta duita hater group er kotha shune fangirling thamay dibo nah..amra international , korean bangladeshi fandom shobai ekshathe ekshathe golay golay lege thaki . apnara to manush ke uganda bole gali den , british bole gali den , bidhormi bole gali den .......apnader asole basic shikkha ta hoynai , that's it . tai ekta artist ar fanbase ke niye lagte gesen . just yt er video gula dekhen , ARMY der shathe jeishob youtuber lagte gese tader ekektar haal behaal."
9/4/2020 10:27:37,Male,Binod
9/4/2020 18:00:53,Male,Art ta onek sundor but mathay kapor nai kno??
9/5/2020 0:46:37,Prefer not to say,I LOVE YOU ARAF MUSTAVI BHAI
9/5/2020 0:46:51,Prefer not to say,I LOVE YOU ARAF MUSTAVI BHAI
9/5/2020 1:46:43,Prefer not to say,"‫অল্প প্রেমে সময় নস্ট,গভীর প্রেমে বুকে কষ্ট"
9/5/2020 2:40:38,Male,"বাদাম খেতে ভালো লাগে, ছিলতে পারিনা। তোমায় আমার ভালো লাগে, বলতে পারিনা।"
9/5/2020 2:41:41,Male,দিনের বেলায় বাদাম খাব মুঠোয় মুঠোয় ভরে রাত বাড়লে খাব তোমায় শক্ত করে ধরে।
9/5/2020 2:42:16,Male,"বাদাম খেতে বসলে আমার আম্মু দেয় ছিলে, বেঁচে থাকা বড় কঠিন, তোমায় না পেলে।   ok I have gone mad. official."
